match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_98,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_327,Schmidt et al._2013_328,2,3
Schmidt et al._2013_99,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_329,Schmidt et al._2013_330,2,3
Schmidt et al._2013_100,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_331,Schmidt et al._2013_332,2,4
Schmidt et al._2013_101,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_333,Schmidt et al._2013_334,1,3
Schmidt et al._2013_102,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_335,Schmidt et al._2013_336,1,3
Schmidt et al._2013_103,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_337,Schmidt et al._2013_338,1,4
Schmidt et al._2013_104,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_339,Schmidt et al._2013_340,1,4
Schmidt et al._2013_105,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_341,Schmidt et al._2013_342,2,4
Schmidt et al._2013_106,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_343,Schmidt et al._2013_344,2,4
Schmidt et al._2013_107,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_345,Schmidt et al._2013_346,1,3
Schmidt et al._2013_108,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_347,Schmidt et al._2013_348,1,3
Schmidt et al._2013_109,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_349,Schmidt et al._2013_350,1,3
Schmidt et al._2013_110,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_351,Schmidt et al._2013_352,1,3
Schmidt et al._2013_111,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_353,Schmidt et al._2013_354,2,4
Schmidt et al._2013_112,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_355,Schmidt et al._2013_356,1,3
Schmidt et al._2013_113,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_357,Schmidt et al._2013_358,1,3
Schmidt et al._2013_114,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_359,Schmidt et al._2013_360,1,3
Schmidt et al._2013_115,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_361,Schmidt et al._2013_362,1,3
Schmidt et al._2013_116,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_363,Schmidt et al._2013_364,1,3
Schmidt et al._2013_117,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_365,Schmidt et al._2013_366,1,3
Schmidt et al._2013_118,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_367,Schmidt et al._2013_368,2,3
Schmidt et al._2013_119,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_369,Schmidt et al._2013_370,2,3
Schmidt et al._2013_120,Schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,Schmidt et al._2013_371,Schmidt et al._2013_372,2,4
Schmidt et al._2013_121,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_373,Schmidt et al._2013_374,1,3
Schmidt et al._2013_122,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_375,Schmidt et al._2013_376,1,4
Schmidt et al._2013_123,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_377,Schmidt et al._2013_378,1,4
Schmidt et al._2013_124,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_379,Schmidt et al._2013_380,1,4
