match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Feltovich et al._ 2012_92,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_54,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_93,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_55,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_94,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_56,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_95,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_57,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_96,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_59,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_97,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_60,Feltovich et al._ 2012_68,1,3
Feltovich et al._ 2012_98,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_61,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_99,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_62,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_100,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_63,Feltovich et al._ 2012_67,2,3
Feltovich et al._ 2012_101,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_53,Feltovich et al._ 2012_55,2,4
Feltovich et al._ 2012_102,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_54,Feltovich et al._ 2012_65,1,3
Feltovich et al._ 2012_103,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_56,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_104,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_57,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_105,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_58,Feltovich et al._ 2012_67,1,3
Feltovich et al._ 2012_106,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_59,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_107,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_60,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_108,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_61,Feltovich et al._ 2012_68,2,3
Feltovich et al._ 2012_109,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_62,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_110,Feltovich et al._ 2012,1,12,19,Feltovich et al._ 2012_63,Feltovich et al._ 2012_69,1,3
Feltovich et al._ 2012_111,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_53,Feltovich et al._ 2012_55,1,4
Feltovich et al._ 2012_112,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_54,Feltovich et al._ 2012_65,2,4
Feltovich et al._ 2012_113,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_56,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_114,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_57,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_115,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_58,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_116,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_59,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_117,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_60,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_118,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_61,Feltovich et al._ 2012_72,1,3
Feltovich et al._ 2012_119,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_62,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_120,Feltovich et al._ 2012,1,12,2,Feltovich et al._ 2012_63,Feltovich et al._ 2012_69,2,3
Feltovich et al._ 2012_121,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_53,Feltovich et al._ 2012_59,2,4
Feltovich et al._ 2012_122,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_54,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_123,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_55,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_124,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_56,Feltovich et al._ 2012_67,1,4
Feltovich et al._ 2012_125,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_57,Feltovich et al._ 2012_69,2,3
Feltovich et al._ 2012_126,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_58,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_127,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_60,Feltovich et al._ 2012_68,1,4
Feltovich et al._ 2012_128,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_61,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_129,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_62,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_130,Feltovich et al._ 2012,1,12,20,Feltovich et al._ 2012_63,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_131,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_53,Feltovich et al._ 2012_54,2,3
Feltovich et al._ 2012_132,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_55,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_133,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_56,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_134,Feltovich et al._ 2012,1,12,21,Feltovich et al._ 2012_57,Feltovich et al._ 2012_71,2,4
