match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_138,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_407,schmidt et al._2013_408,2,3
schmidt et al._2013_139,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_409,schmidt et al._2013_410,2,3
schmidt et al._2013_140,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_411,schmidt et al._2013_412,2,3
schmidt et al._2013_141,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_413,schmidt et al._2013_414,1,4
schmidt et al._2013_142,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_415,schmidt et al._2013_416,1,3
schmidt et al._2013_143,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_417,schmidt et al._2013_418,1,4
schmidt et al._2013_144,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_419,schmidt et al._2013_420,1,4
schmidt et al._2013_145,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_421,schmidt et al._2013_422,2,3
schmidt et al._2013_146,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_423,schmidt et al._2013_424,1,3
schmidt et al._2013_147,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_425,schmidt et al._2013_426,1,3
schmidt et al._2013_148,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_427,schmidt et al._2013_428,1,3
schmidt et al._2013_149,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_429,schmidt et al._2013_430,1,3
schmidt et al._2013_150,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_431,schmidt et al._2013_432,1,3
schmidt et al._2013_151,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_433,schmidt et al._2013_434,2,3
schmidt et al._2013_152,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_435,schmidt et al._2013_436,1,4
schmidt et al._2013_153,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_437,schmidt et al._2013_438,1,3
schmidt et al._2013_154,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_439,schmidt et al._2013_440,1,3
schmidt et al._2013_155,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_441,schmidt et al._2013_442,1,3
schmidt et al._2013_156,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_443,schmidt et al._2013_444,1,3
schmidt et al._2013_157,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_445,schmidt et al._2013_446,1,3
schmidt et al._2013_158,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_447,schmidt et al._2013_448,2,3
schmidt et al._2013_159,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_449,schmidt et al._2013_450,1,3
schmidt et al._2013_160,schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,schmidt et al._2013_451,schmidt et al._2013_452,2,3
schmidt et al._2013_161,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_733,schmidt et al._2013_734,2,4
schmidt et al._2013_162,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_735,schmidt et al._2013_736,2,4
schmidt et al._2013_163,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_737,schmidt et al._2013_738,1,3
schmidt et al._2013_164,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_739,schmidt et al._2013_740,1,4
schmidt et al._2013_165,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_741,schmidt et al._2013_742,2,4
schmidt et al._2013_166,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_743,schmidt et al._2013_744,1,3
schmidt et al._2013_167,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_745,schmidt et al._2013_746,1,4
schmidt et al._2013_168,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_747,schmidt et al._2013_748,1,3
schmidt et al._2013_169,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_749,schmidt et al._2013_750,1,3
schmidt et al._2013_170,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_751,schmidt et al._2013_752,2,4
schmidt et al._2013_171,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_753,schmidt et al._2013_754,2,3
schmidt et al._2013_172,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_755,schmidt et al._2013_756,2,4
schmidt et al._2013_173,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_757,schmidt et al._2013_758,1,3
schmidt et al._2013_174,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_759,schmidt et al._2013_760,2,3
schmidt et al._2013_175,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_761,schmidt et al._2013_762,1,3
schmidt et al._2013_176,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_763,schmidt et al._2013_764,1,3
schmidt et al._2013_177,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_765,schmidt et al._2013_766,2,4
schmidt et al._2013_178,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_767,schmidt et al._2013_768,2,4
schmidt et al._2013_179,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_769,schmidt et al._2013_770,2,4
schmidt et al._2013_180,schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,schmidt et al._2013_771,schmidt et al._2013_772,1,3
schmidt et al._2013_181,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_693,schmidt et al._2013_694,2,4
schmidt et al._2013_182,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_695,schmidt et al._2013_696,2,4
schmidt et al._2013_183,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_697,schmidt et al._2013_698,1,4
schmidt et al._2013_184,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_699,schmidt et al._2013_700,1,4
schmidt et al._2013_185,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_701,schmidt et al._2013_702,2,4
schmidt et al._2013_186,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_703,schmidt et al._2013_704,2,4
schmidt et al._2013_187,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_705,schmidt et al._2013_706,2,4
schmidt et al._2013_188,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_707,schmidt et al._2013_708,2,4
schmidt et al._2013_189,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_709,schmidt et al._2013_710,1,3
schmidt et al._2013_190,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_711,schmidt et al._2013_712,2,3
schmidt et al._2013_191,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_713,schmidt et al._2013_714,2,4
schmidt et al._2013_192,schmidt et al._2013,One Shot Protocol, reverse, CO2-R,reverse order,1,schmidt et al._2013_715,schmidt et al._2013_716,2,4
